t,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7
0.000,89.380,89.755,181.217,89.825,90.074,89.811,90.511,89.619,89.989,89.708,90.595,71.084,90.390,89.853
0.005,89.604,90.140,181.197,90.396,89.939,89.754,89.944,90.183,89.510,89.993,90.162,71.084,90.321,89.988
0.010,89.786,89.716,181.174,90.322,90.067,90.359,90.212,90.315,89.943,90.169,89.832,71.084,90.581,89.851
0.015,90.110,90.156,181.136,89.987,90.642,89.353,90.240,90.579,90.386,89.685,90.044,71.084,90.137,89.773
0.020,91.500,91.775,181.228,92.184,92.537,91.753,91.910,91.572,92.037,91.828,92.076,312.845,92.197,91.733
0.025,91.960,92.484,181.301,92.057,91.876,92.257,91.631,91.987,92.149,91.844,91.853,312.845,92.249,92.472
0.030,91.967,91.732,181.221,91.684,92.161,91.707,91.599,91.973,92.099,91.625,91.744,312.845,91.679,91.633
0.035,92.049,91.898,181.135,92.125,91.611,0.000,92.210,91.512,91.457,91.447,91.748,312.845,91.638,91.839
0.040,93.321,94.045,181.240,93.726,93.123,93.359,94.340,94.237,93.471,93.483,93.536,50.267,94.192,93.864
0.045,93.775,94.016,181.273,93.700,93.810,93.714,93.740,93.681,94.105,94.271,93.657,50.267,94.070,93.864
0.050,93.738,93.297,181.209,93.968,93.981,93.278,94.214,94.234,93.922,93.661,94.028,50.267,94.018,93.491
0.055,93.590,93.812,181.260,93.516,93.439,93.819,94.053,93.997,93.733,93.880,93.566,50.267,93.347,93.944
0.060,95.994,95.758,181.143,95.771,95.766,95.347,96.148,95.526,95.722,95.846,95.610,72.451,95.913,95.408
0.065,95.509,95.844,181.253,96.063,95.604,95.553,95.311,96.099,95.623,95.727,95.810,72.451,94.991,95.601
0.070,96.041,95.590,181.234,96.019,95.212,94.984,95.560,95.792,95.522,96.296,95.541,72.451,95.289,95.769
0.075,95.420,96.091,181.153,95.640,95.475,95.691,95.621,96.175,95.504,96.204,95.546,72.451,95.861,95.537
