t,x,y,z
0.00000,0.003061,-0.003833,1.000627
0.01389,-0.000852,-0.000679,0.999677
0.02778,-0.003030,-0.000348,0.998702
0.04167,0.004984,0.000339,0.999471
0.05556,-0.000422,-0.001002,0.998417
0.06944,-0.000586,0.000723,0.999642
0.08333,0.001437,-0.000300,1.000036
0.09722,0.002319,0.000818,0.999242
0.11111,-0.000274,0.000811,1.002903
0.12500,-0.000404,-0.000365,1.001503
0.13889,-0.001330,-0.000438,1.001324
0.15278,0.000871,0.000137,1.001005
0.16667,-0.004242,0.001532,0.998561
0.18056,-0.002503,0.000415,1.001051
0.19444,-0.000667,-0.001615,1.000039
0.20833,-0.000079,0.002108,1.001121
0.22222,0.000291,0.001667,0.999692
0.23611,-0.001389,0.000876,1.000874
0.25000,-0.000322,-0.001174,1.000344
0.26389,-0.003741,0.001035,1.000737
0.27778,-0.002458,0.000092,0.998554
0.29167,0.001136,-0.003051,0.998628
0.30556,0.001064,0.001735,0.996763
0.31944,-0.000747,0.000492,0.999086
0.33333,0.002386,-0.001787,1.000532
0.34722,-0.001573,0.002109,0.999968
0.36111,-0.000558,-0.002577,1.002523
0.37500,0.001129,0.001130,1.001707
0.38889,0.000524,-0.000959,0.998800
0.40278,-0.001200,0.002055,0.997809
0.41667,-0.000895,-0.000482,1.000337
0.43056,0.000863,-0.001874,0.997405
0.44444,-0.000007,0.001820,1.001136
0.45833,0.000323,-0.000476,1.000440
0.47222,-0.000365,0.001226,0.998808
0.48611,0.000201,-0.000166,1.000815
0.50000,0.000337,0.003825,1.002248
0.51389,0.002245,-0.003059,0.999490
0.52778,-0.000913,0.000799,0.996581
0.54167,0.001762,0.001600,0.998047
0.55556,-0.001468,-0.001202,1.000065
0.56944,0.000961,0.003072,0.999704
0.58333,0.001151,0.000233,1.002640
0.59722,0.001113,0.002053,0.998383
0.61111,-0.000288,-0.001221,1.002257
0.62500,0.000986,-0.000458,0.999321
0.63889,0.000727,-0.001052,0.998604
0.65278,0.000722,0.003695,0.999631
0.66667,-0.000834,-0.001757,0.997997
0.68056,0.000787,0.001276,1.000014
0.69444,0.000499,0.000174,1.000208
0.70833,-0.002289,-0.000687,1.000167
0.72222,-0.001175,-0.000715,0.998771
0.73611,-0.000500,0.001280,0.999390
0.75000,-0.000231,0.001221,1.000967
0.76389,0.002543,-0.003136,1.001285
0.77778,-0.000723,0.000202,1.001257
0.79167,0.001625,0.001559,1.000233
0.80556,0.002414,-0.000424,0.999789
0.81944,0.001199,-0.000827,1.003241
0.83333,0.001529,0.003263,0.999960
0.84722,-0.000575,0.000251,1.001102
0.86111,-0.000881,0.000570,0.999975
0.87500,0.002424,-0.000994,1.001569
0.88889,-0.000966,-0.001441,0.998935
0.90278,-0.001785,0.000220,1.001547
0.91667,0.000246,0.000936,1.002448
0.93056,0.000405,0.000293,0.999587
0.94444,-0.002412,0.001140,0.997365
0.95833,0.000979,-0.000021,1.001690
0.97222,-0.000102,-0.001235,1.000537
0.98611,-0.000840,-0.000271,1.000063
1.00000,-0.000202,-0.000283,0.998751
1.01389,-0.000284,-0.003208,0.999764
1.02778,-0.001797,0.001680,1.001905
